1 2 3 4 5 6 7 8 
1 3 4 5 6 7 8 9 
1 3 4 5 6 7 8 9 
1 3 4 5 6 7 8 9 
1 7 8 10 11 12 13 14 
1 3 7 8 10 15 16 17 
1 3 7 8 10 18 19 20 
1 3 4 5 6 7 8 21 
1 3 7 8 22 23 24 25 
1 7 12 13 26 27 28 29 
1 3 7 23 24 26 29 30 
1 3 7 23 24 26 29 30 
1 3 7 23 29 31 32 33 
1 3 7 23 24 29 30 31 
1 7 12 13 29 31 34 35 
1 3 7 23 24 29 30 31 
1 7 12 13 29 36 37 38 
1 3 7 23 24 29 30 36 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 43 44 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 45 46 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 47 48 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 49 50 
7 12 13 39 40 42 49 50 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 51 52 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 53 54 
3 7 23 24 39 40 41 42 
7 12 13 39 40 42 45 46 
3 7 23 24 39 40 41 42 
7 12 13 55 56 57 58 59 
3 7 23 24 55 59 60 61 
7 12 13 55 57 58 59 62 
3 7 23 24 55 59 61 62 
7 12 13 55 59 63 64 65 
3 7 23 24 55 59 61 63 
3 7 23 24 55 59 61 66 
7 12 13 55 59 66 67 68 
3 7 23 24 55 59 61 66 
7 12 13 55 59 66 69 70 
3 7 23 24 55 59 61 66 
3 7 23 24 55 71 72 73 
7 12 13 37 55 73 74 75 
3 7 23 24 55 72 73 74 
7 12 13 55 76 77 78 79 
3 7 23 24 55 76 79 80 
3 7 23 24 55 81 82 83 
7 12 13 47 55 81 83 84 
3 7 23 24 55 81 82 83 
7 12 13 37 55 81 83 85 
3 7 23 24 55 82 83 86 
7 12 13 55 87 88 89 90 
3 7 23 24 55 90 91 92 
7 12 13 55 90 93 94 95 
3 7 23 24 55 90 92 93 
7 12 13 43 44 96 97 98 
3 7 23 24 41 96 97 98 
7 12 13 57 96 99 100 101 
3 7 23 24 96 99 101 102 
7 12 13 96 99 101 103 104 
3 7 23 24 96 99 101 102 
7 12 13 64 96 99 101 105 
3 7 23 24 96 99 101 102 
7 96 106 107 108 109 110 111 
7 96 106 107 108 109 110 111 
7 13 96 106 107 108 111 112 
7 96 106 107 108 109 110 111 
7 13 96 106 107 108 111 112 
7 12 13 34 96 111 113 114 
7 12 13 34 96 111 113 114 
3 7 23 24 96 111 113 115 
7 12 13 37 96 111 116 117 
7 12 13 37 96 111 116 117 
3 7 23 24 96 111 115 118 
3 7 23 24 96 111 115 118 
3 7 23 24 25 96 119 120 
7 12 13 96 119 120 121 122 
7 23 96 119 120 121 123 124 
3 7 23 24 25 96 119 120 
3 7 23 24 25 96 120 125 
7 23 96 120 121 123 124 125 
3 7 23 24 25 96 120 125 
7 12 13 57 96 120 125 126 
3 7 23 24 25 96 120 125 
7 12 13 96 103 120 125 127 
7 23 96 103 120 123 125 128 
3 7 23 24 25 96 120 125 
7 23 96 103 120 123 125 128 
7 23 57 96 120 123 129 130 
3 7 23 24 25 96 120 129 
7 12 13 57 96 120 126 129 
3 7 23 24 25 96 120 131 
3 7 23 24 25 96 120 131 
7 12 13 64 96 120 131 132 
3 7 23 24 25 96 120 131 
7 23 57 96 120 123 130 131 
3 7 23 24 25 96 120 133 
3 7 23 24 25 96 120 133 
7 12 13 69 96 120 133 134 
3 7 23 24 25 96 120 133 
7 12 13 64 96 120 132 133 
3 7 23 24 25 96 120 133 
3 7 23 24 96 135 136 137 
3 7 23 24 96 138 139 140 
3 7 23 24 96 138 139 140 
7 12 13 76 96 141 142 143 
3 7 23 24 76 96 143 144 
3 7 23 24 96 145 146 147 
7 12 13 94 96 147 148 149 
3 7 23 24 96 146 147 148 
7 12 13 94 96 147 148 149 
3 7 23 24 96 146 147 148 
3 7 23 24 150 151 152 153 
7 12 13 141 150 153 154 155 
3 7 23 24 150 152 153 154 
7 12 13 141 150 153 155 156 
3 7 23 24 150 152 153 156 
7 11 12 13 150 153 156 157 
3 7 23 24 150 152 153 156 
7 107 108 109 150 153 158 159 
3 7 23 24 150 152 153 158 
7 12 13 34 150 153 158 160 
3 7 23 24 150 152 153 158 
7 12 13 37 150 153 158 161 
3 7 23 24 150 152 153 162 
7 12 13 43 150 163 164 165 
3 7 23 24 150 163 165 166 
7 12 13 88 150 163 165 167 
3 7 23 24 150 163 165 166 
7 12 13 94 150 165 168 169 
3 7 23 24 150 165 166 168 
7 11 12 13 170 171 172 173 
3 7 23 24 166 170 171 173 
7 12 13 77 170 173 174 175 
3 7 23 24 166 170 173 174 
7 12 13 37 170 173 174 176 
3 7 23 24 166 170 173 174 
3 7 23 24 170 177 178 179 
3 7 23 24 170 180 181 182 
7 12 13 34 170 180 182 183 
3 7 23 24 170 180 181 182 
7 12 13 37 170 182 184 185 
7 12 13 34 170 186 187 188 
3 7 23 24 170 188 189 190 
3 7 23 24 191 192 193 194 
7 12 13 27 191 192 194 195 
3 7 23 24 191 192 193 194 
7 12 13 37 191 194 196 197 
3 7 23 24 191 193 194 196 
7 12 13 77 188 191 198 199 
3 7 23 24 188 190 191 198 
3 7 23 24 181 182 191 200 
7 12 13 182 191 200 201 202 
3 7 23 24 181 182 191 200 
7 12 13 77 182 191 200 203 
3 7 23 24 181 182 191 200 
7 11 12 13 182 191 204 205 
7 12 13 191 206 207 208 209 
3 7 23 24 191 206 209 210 
7 12 13 37 191 209 211 212 
3 7 23 24 191 209 210 211 
7 12 13 191 207 208 209 211 
3 7 23 24 191 209 210 211 
3 7 23 24 181 182 191 213 
7 11 12 13 191 209 214 215 
7 12 13 141 182 191 216 217 
3 7 23 24 181 182 191 218 
3 7 23 24 191 209 210 219 
7 12 13 191 209 219 220 221 
3 7 23 24 191 209 210 219 
7 12 13 77 191 209 219 222 
3 7 23 24 191 209 210 219 
7 12 13 64 191 209 219 223 
3 7 23 24 191 209 210 224 
3 7 23 24 191 209 210 224 
3 7 23 24 191 225 226 227 
7 12 13 64 191 225 227 228 
3 7 23 24 191 225 226 227 
7 12 13 67 191 225 227 229 
3 7 23 24 191 225 226 227 
7 12 13 191 201 225 227 230 
3 7 23 24 191 225 226 227 
7 12 13 191 207 227 231 232 
3 7 23 24 191 226 227 231 
7 11 12 13 191 227 233 234 
3 7 23 24 191 226 227 235 
3 7 23 24 191 226 227 235 
3 7 23 24 191 226 227 235 
7 12 13 34 191 227 235 236 
3 7 23 24 191 226 227 235 
3 7 23 24 237 238 239 240 
7 12 13 141 237 240 241 242 
3 7 23 24 237 239 240 241 
7 12 13 220 237 240 241 243 
3 7 23 24 237 239 240 241 
7 12 13 77 237 240 241 244 
3 7 23 24 237 239 240 241 
7 12 13 34 237 240 245 246 
3 7 23 24 237 239 240 245 
7 12 13 37 237 240 245 247 
3 7 23 24 237 239 240 245 
3 7 23 24 237 239 240 248 
7 12 13 34 237 249 250 251 
3 7 23 24 237 249 251 252 
7 12 13 34 187 188 237 253 
3 7 23 24 188 190 237 254 
7 12 13 141 188 237 255 256 
3 7 23 24 188 190 237 255 
7 12 13 34 187 188 237 257 
3 7 23 24 188 190 237 258 
3 7 23 259 260 261 262 263 
3 7 23 259 260 263 264 265 
3 7 23 259 263 266 267 268 
3 7 23 259 263 266 269 270 
3 7 23 259 261 263 271 272 
3 7 23 259 263 264 271 273 
7 12 13 37 259 274 275 276 
3 7 23 24 259 274 276 277 
7 12 13 73 141 259 278 279 
3 7 23 24 72 73 259 278 
3 7 23 24 280 281 282 283 
7 12 13 27 280 283 284 285 
3 7 23 24 280 282 283 284 
7 12 13 141 280 283 286 287 
7 12 13 45 280 283 288 289 
7 12 13 64 280 283 290 291 
3 7 23 24 280 282 283 290 
7 12 13 64 280 283 290 291 
7 12 13 69 280 283 290 292 
7 12 13 67 280 283 290 293 
7 12 13 201 280 283 290 294 
7 12 13 207 280 283 290 295 
3 7 23 24 280 282 283 290 
7 12 13 207 280 283 290 295 
7 11 12 13 280 283 290 296 
3 7 23 24 280 282 283 290 
7 12 13 34 280 283 297 298 
3 7 23 24 280 282 283 297 
7 12 13 37 280 283 299 300 
3 7 23 24 280 282 283 301 
3 7 23 24 209 280 302 303 
3 7 23 24 209 280 302 303 
7 12 13 49 209 280 304 305 
3 7 23 24 209 280 303 304 
7 12 13 53 209 280 304 306 
3 7 23 24 209 280 303 304 
7 12 13 47 209 280 304 307 
7 12 13 45 209 280 308 309 
3 7 23 24 209 280 303 308 
7 12 13 43 209 280 308 310 
7 12 13 88 209 280 308 311 
7 12 13 94 209 280 308 312 
7 12 13 94 209 280 308 312 
7 12 13 77 209 280 308 313 
3 7 23 24 209 280 303 314 
3 7 23 24 209 280 303 314 
7 12 13 77 209 280 313 314 
3 7 23 24 209 280 303 315 
7 12 13 37 209 280 316 317 
7 12 13 77 209 280 313 316 
3 7 23 24 209 280 303 316 
3 7 23 24 280 318 319 320 
7 12 13 37 280 318 320 321 
3 7 23 24 280 318 319 320 
7 12 13 34 280 318 320 322 
3 7 23 24 280 318 319 320 
7 12 13 37 280 320 321 323 
7 12 13 37 280 320 321 323 
7 12 13 37 280 320 321 323 
3 7 23 24 280 319 320 323 
3 7 23 24 280 323 324 325 
7 12 13 77 280 326 327 328 
3 7 23 24 280 326 328 329 
7 11 12 13 280 326 328 330 
3 7 23 24 280 326 328 329 
7 12 13 34 280 331 332 333 
3 7 23 24 280 331 333 334 
7 12 13 43 280 328 335 336 
3 7 23 24 280 328 329 335 
7 12 13 94 280 328 335 337 
3 7 23 24 280 328 329 335 
7 12 13 77 280 327 328 338 
7 12 13 77 280 327 328 338 
3 7 23 24 280 328 329 338 
7 12 13 43 280 328 336 339 
3 7 23 24 280 328 329 339 
7 12 13 94 280 328 337 339 
3 7 23 24 280 328 329 339 
7 12 13 94 280 328 337 339 
3 7 23 24 280 328 329 339 
7 12 13 77 280 327 328 340 
3 7 23 24 280 328 329 340 
7 12 13 94 280 341 342 343 
7 12 13 45 280 343 344 345 
7 12 13 220 280 343 344 346 
7 12 13 37 280 343 344 347 
3 7 23 24 280 343 348 349 
3 7 23 24 147 280 350 351 
7 12 13 141 147 280 352 353 
3 7 23 24 147 280 351 352 
3 7 23 24 93 147 280 354 
3 7 23 24 147 280 351 355 
7 12 13 141 147 280 355 356 
7 12 13 147 220 280 355 357 
3 7 23 24 147 280 351 355 
3 7 23 24 147 280 354 358 
7 12 13 26 147 220 280 359 
3 7 23 24 26 147 280 360 
3 7 23 24 26 147 280 351 
7 12 13 36 45 147 280 361 
3 7 23 24 36 147 280 351 
3 7 23 24 147 280 351 362 
3 7 23 24 147 148 280 351 
7 12 13 45 147 148 280 361 
3 7 23 24 147 148 280 351 
7 12 13 43 147 280 363 364 
3 7 23 24 147 280 363 365 
7 12 13 94 147 280 366 367 
3 7 23 24 147 280 365 366 
7 12 13 37 147 280 366 368 
3 7 23 24 147 280 365 366 
7 12 13 43 280 369 370 371 
3 7 23 24 280 369 371 372 
7 12 13 94 280 369 371 373 
3 7 23 24 280 371 372 374 
7 12 13 43 147 280 375 376 
3 7 23 24 147 280 354 375 
7 12 13 37 275 280 377 378 
3 7 23 24 277 280 377 378 
7 12 13 37 275 378 379 380 
3 7 23 24 277 378 379 380 
7 12 13 37 379 381 382 383 
3 7 23 24 379 381 383 384 
3 7 23 24 379 381 383 384 
7 12 13 88 379 385 386 387 
3 7 23 24 379 387 388 389 
7 12 13 47 379 387 390 391 
3 7 23 24 379 387 389 390 
7 12 13 43 379 387 392 393 
3 7 23 24 379 387 389 394 
7 12 13 88 379 386 387 395 
3 7 23 24 379 387 389 396 
